PERMNO,date,NCUSIP,TICKER,COMNAM,PERMCO,CUSIP,BIDLO,ASKHI,PRC,VOL,RET,SHROUT,OPENPRC,RETX
10107,20210104,59491810,MSFT,MICROSOFT CORP,8048,59491810,214.81000,223.00000,217.69000,37089039,-0.021266,7546000,222.53000,-0.021266
10107,20210105,59491810,MSFT,MICROSOFT CORP,8048,59491810,215.70000,218.52000,217.89999,23794016,0.000965,7546000,217.25999,0.000965
10107,20210106,59491810,MSFT,MICROSOFT CORP,8048,59491810,211.94000,216.48990,212.25000,35861912,-0.025929,7546000,212.17000,-0.025929
10107,20210107,59491810,MSFT,MICROSOFT CORP,8048,59491810,213.71001,219.34000,218.28999,27659866,0.028457,7546000,214.03999,0.028457
10107,20210108,59491810,MSFT,MICROSOFT CORP,8048,59491810,217.02609,220.58000,219.62000,22914645,0.006093,7546000,218.67999,0.006093
10107,20210111,59491810,MSFT,MICROSOFT CORP,8048,59491810,216.73000,218.91000,217.49001,23026750,-0.009699,7546000,218.47000,-0.009699
10107,20210112,59491810,MSFT,MICROSOFT CORP,8048,59491810,213.32021,217.10001,214.92999,23229822,-0.011771,7546000,216.50000,-0.011771
10107,20210113,59491810,MSFT,MICROSOFT CORP,8048,59491810,213.92661,216.75999,216.34000,20069123,0.006560,7546000,214.02000,0.006560
10107,20210114,59491810,MSFT,MICROSOFT CORP,8048,59491810,212.74001,217.46001,213.02000,29812728,-0.015346,7546000,215.91000,-0.015346
10107,20210115,59491810,MSFT,MICROSOFT CORP,8048,59491810,212.03000,214.50999,212.64999,31704133,-0.001737,7546000,213.52000,-0.001737
10107,20210119,59491810,MSFT,MICROSOFT CORP,8048,59491810,212.63000,216.98000,216.44000,30453173,0.017823,7546000,213.75000,0.017823
10107,20210120,59491810,MSFT,MICROSOFT CORP,8048,59491810,217.29080,225.78999,224.34000,37704943,0.036500,7546000,217.70000,0.036500
10107,20210121,59491810,MSFT,MICROSOFT CORP,8048,59491810,222.42000,226.30000,224.97000,30802424,0.002808,7542216,224.70000,0.002808
10107,20210122,59491810,MSFT,MICROSOFT CORP,8048,59491810,225.80000,230.07001,225.95000,30119838,0.004356,7542216,227.08000,0.004356
10107,20210125,59491810,MSFT,MICROSOFT CORP,8048,59491810,224.22000,229.78000,229.53000,33093539,0.015844,7542216,229.12000,0.015844
10107,20210126,59491810,MSFT,MICROSOFT CORP,8048,59491810,230.08000,234.17999,232.33000,49100737,0.012199,7542216,231.86000,0.012199
10107,20210127,59491810,MSFT,MICROSOFT CORP,8048,59491810,230.14000,240.44000,232.89999,70670403,0.002453,7542216,238.00000,0.002453
10107,20210128,59491810,MSFT,MICROSOFT CORP,8048,59491810,235.09000,242.64000,238.92999,49025266,0.025891,7542216,235.61000,0.025891
10107,20210129,59491810,MSFT,MICROSOFT CORP,8048,59491810,231.35001,238.02000,231.96001,42435379,-0.029172,7542216,235.99001,-0.029172
10107,20210201,59491810,MSFT,MICROSOFT CORP,8048,59491810,232.42999,242.50000,239.64999,33252825,0.033152,7542216,235.06000,0.033152
10107,20210202,59491810,MSFT,MICROSOFT CORP,8048,59491810,238.69000,242.31000,239.50999,25863078,-0.000584,7542216,241.30000,-0.000584
10107,20210203,59491810,MSFT,MICROSOFT CORP,8048,59491810,239.25999,245.09000,243.00000,27060430,0.014571,7542216,239.57001,0.014571
10107,20210204,59491810,MSFT,MICROSOFT CORP,8048,59491810,240.37000,243.23990,242.00999,25212368,-0.004074,7542216,242.66000,-0.004074
10107,20210205,59491810,MSFT,MICROSOFT CORP,8048,59491810,240.42000,243.28000,242.20000,18009761,0.000785,7542216,242.23000,0.000785
10107,20210208,59491810,MSFT,MICROSOFT CORP,8048,59491810,240.81000,243.67999,242.47000,22167146,0.001115,7542216,243.14999,0.001115
10107,20210209,59491810,MSFT,MICROSOFT CORP,8048,59491810,241.38000,244.75999,243.77000,23540079,0.005362,7542216,241.87000,0.005362
10107,20210210,59491810,MSFT,MICROSOFT CORP,8048,59491810,240.89000,245.92000,242.82001,22195371,-0.003897,7542216,245.00000,-0.003897
10107,20210211,59491810,MSFT,MICROSOFT CORP,8048,59491810,242.14999,245.14999,244.49001,15722796,0.006878,7542216,244.78000,0.006878
