gvkey,conm,tic,cusip,cik,sic,naics,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT
001161,ADVANCED MICRO DEVICES,AMD,007903107,0000002488,3674,334413,P,01,LU,61241,211,12/14/1972,E
001300,HONEYWELL INTERNATIONAL INC,HON,438516106,0000773840,9997,336413,C,00X,LC,10145,22168,01/01/1950,01/30/1962
001300,HONEYWELL INTERNATIONAL INC,HON,438516106,0000773840,9997,336413,P,01,LC,10145,22168,01/31/1962,E
001327,SKYWORKS SOLUTIONS INC,SWKS,83088M102,0000004127,3674,334413,P,01,LU,45911,20058,03/13/1968,E
001440,AMERICAN ELECTRIC POWER CO,AEP,025537101,0000004904,4911,2211,C,00X,LC,24109,20077,01/01/1951,01/30/1962
001440,AMERICAN ELECTRIC POWER CO,AEP,025537101,0000004904,4911,2211,P,01,LC,24109,20077,01/31/1962,E
001602,AMGEN INC,AMGN,031162100,0000318154,2836,325414,P,01,LU,14008,216,06/17/1983,E
001632,ANALOG DEVICES INC,ADI,032654105,0000006281,3674,334413,P,01,LC,60871,282,12/14/1972,E
001690,APPLE INC,AAPL,037833100,0000320193,3663,334220,P,01,LU,14593,7,12/12/1980,E
001704,APPLIED MATERIALS INC,AMAT,038222105,0000006951,3559,333242,P,01,LU,14702,194,12/14/1972,E
001878,AUTODESK INC,ADSK,052769106,0000769397,7370,519130,P,01,LU,85631,7623,07/31/1985,E
001891,AUTOMATIC DATA PROCESSING,ADP,053015103,0000008670,7374,518210,P,01,LC,44644,20235,06/26/1967,E
002574,CSX CORP,CSX,126408103,0000277948,4011,482111,P,01,LC,62148,20370,11/13/1980,E
002574,CSX CORP,CSX,126408103,0000277948,4011,482111,C,00X,LC,22410,23143,01/01/1957,01/30/1962
002574,CSX CORP,CSX,126408103,0000277948,4011,482111,P,01,LC,22410,23143,01/31/1962,10/31/1980
003062,CINTAS CORP,CTAS,172908105,0000723254,7200,812331,P,01,LC,23660,6304,08/19/1983,E
003226,COMCAST CORP,CMCSA,20030N101,0001166691,4841,515210,N,02,LC,11997,962,12/24/1986,11/30/1993
003226,COMCAST CORP,CMCSA,20030N101,0001166691,4841,515210,J,02,LC,89565,43613,11/19/2002,01/29/2016
003226,COMCAST CORP,CMCSA,20030N101,0001166691,4841,515210,P,01,LC,89525,43613,11/19/2002,E
003226,COMCAST CORP,CMCSA,20030N101,0001166691,4841,515210,P,01,LC,25022,962,11/01/2002,11/18/2002
003226,COMCAST CORP,CMCSA,20030N101,0001166691,4841,515210,J,01,LC,25022,962,12/01/1993,10/31/2002
003226,COMCAST CORP,CMCSA,20030N101,0001166691,4841,515210,C,00X,LC,25022,962,01/01/1974,01/30/1974
003226,COMCAST CORP,CMCSA,20030N101,0001166691,4841,515210,P,01,LC,25022,962,01/31/1974,11/30/1993
003226,COMCAST CORP,CMCSA,20030N101,0001166691,4841,515210,J,02,LC,11997,962,11/01/2002,11/18/2002
003226,COMCAST CORP,CMCSA,20030N101,0001166691,4841,515210,P,02,LC,11997,962,12/01/1993,10/31/2002
005568,KRAFT HEINZ CO,KHC,500754106,0001637459,2030,31142,C,01,LC,23077,20900,06/01/2013,06/10/2013
005568,KRAFT HEINZ CO,KHC,500754106,0001637459,2030,31142,P,01,LC,23077,20900,01/31/1962,05/31/2013
005568,KRAFT HEINZ CO,KHC,500754106,0001637459,2030,31142,C,00X,LC,23077,20900,05/01/1950,01/30/1962
005568,KRAFT HEINZ CO,KHC,500754106,0001637459,2030,31142,P,04,LC,15408,55296,07/06/2015,E
006008,INTEL CORP,INTC,458140100,0000050863,3674,334413,P,01,LU,59328,2367,12/14/1972,E
006304,KLA CORP,KLAC,482480100,0000319201,3827,333314,P,01,LU,46886,2551,10/08/1980,E
006565,LAM RESEARCH CORP,LRCX,512807108,0000707549,3559,333242,P,01,LU,48486,7013,05/04/1984,E
