Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,12950.219727,12950.219727,12537.419922,12694.660156,12694.660156,6546740000
2021-01-05,12663.129883,12809.669922,12663.129883,12802.379883,12802.379883,6904420000
2021-01-06,12601.259766,12803.290039,12569.419922,12623.349609,12623.349609,7648340000
2021-01-07,12745.410156,12966.679688,12744.820313,12939.570313,12939.570313,6777010000
2021-01-08,13037.240234,13113.089844,12939.730469,13105.200195,13105.200195,7223660000
2021-01-11,12961.500000,13023.209961,12883.589844,12902.490234,12902.490234,6876420000
2021-01-12,12916.099609,12957.429688,12783.709961,12892.089844,12892.089844,7181380000
2021-01-13,12911.870117,13008.849609,12878.019531,12973.629883,12973.629883,7072920000
2021-01-14,13010.940430,13037.049805,12886.160156,12898.690430,12898.690430,6671090000
2021-01-15,12898.089844,12941.290039,12758.099609,12803.929688,12803.929688,6402970000
2021-01-19,12921.610352,13012.089844,12861.299805,12996.540039,12996.540039,6229100000
2021-01-20,13155.120117,13332.259766,13138.299805,13296.450195,13296.450195,6771630000
2021-01-21,13356.700195,13433.690430,13297.790039,13404.990234,13404.990234,7183390000
2021-01-22,13356.179688,13404.769531,13336.900391,13366.400391,13366.400391,5931240000
2021-01-25,13515.629883,13563.700195,13205.589844,13483.290039,13483.290039,7139410000
2021-01-26,13507.469727,13536.299805,13440.320313,13490.190430,13490.190430,6781460000
2021-01-27,13371.160156,13393.509766,13034.139648,13112.650391,13112.650391,11102160000
2021-01-28,13163.320313,13401.849609,13150.099609,13201.530273,13201.530273,9823150000
2021-01-29,13124.700195,13167.870117,12845.429688,12925.379883,12925.379883,7809670000
2021-02-01,13067.650391,13280.219727,12983.099609,13248.900391,13248.900391,7014220000
2021-02-02,13371.370117,13501.230469,13363.759766,13456.120117,13456.120117,7240220000
2021-02-03,13555.030273,13561.450195,13400.080078,13402.370117,13402.370117,7465240000
2021-02-04,13454.849609,13563.129883,13406.440430,13560.889648,13560.889648,7218680000
2021-02-05,13592.769531,13642.959961,13527.809570,13603.959961,13603.959961,6697720000
2021-02-08,13672.330078,13698.410156,13607.959961,13695.019531,13695.019531,8439940000
2021-02-09,13667.139648,13741.790039,13664.700195,13687.080078,13687.080078,8658980000
2021-02-10,13751.419922,13770.910156,13531.929688,13655.269531,13655.269531,10165550000
2021-02-11,13723.629883,13747.200195,13637.190430,13734.349609,13734.349609,10000200000
2021-02-12,13695.900391,13816.250000,13656.780273,13807.700195,13807.700195,7352960000
2021-02-16,13841.030273,13879.769531,13726.780273,13773.769531,13773.769531,7646300000
2021-02-17,13636.150391,13713.139648,13552.660156,13699.709961,13699.709961,7227140000
2021-02-18,13556.009766,13669.940430,13477.169922,13637.509766,13637.509766,6454280000
